Research ID,Race,International,Sex,Miles,Commuter,Dorm,IowaResident,SchoolofMajor,Athlete,HSRank,ACTComp,ACTMath,ACTEng,HSGPA,BVGPA,Hrs,Returned
3743,G,0,0,10-19,0,B,1,K,1,0.042,27,24,27,3.9,3.733,15,1
3744,G,0,1,275-299,0,E,0,G,2,0.772,19,20,18,2.35,2.5,12,0
3745,A,0,0,50-59,0,C,1,H,2,0.356,22,25,21,3.33,2.5,10,1
3747,A,0,0,0-9,1,,1,J,1,0.071,27,28,33,3.87,3.172,14.5,0
3748,A,0,1,140-149,0,E,1,I,2,0.603,19,21,16,3.21,2.75,12,1
3749,A,0,0,120-129,0,A,1,H,1,0.963,20,20,24,2.07,1.375,16,0
3750,A,0,1,300-349,0,E,1,H,1,0.163,23,23,22,3.64,2.6,15,1
3752,A,0,0,40-49,0,B,1,F,1,0.667,19,18,19,2.7,1.8,15,0
3753,A,0,1,30-39,0,E,1,F,1,0.091,20,19,22,3.89,3.6,15,1
3755,A,0,0,90-99,0,A,0,J,1,0.327,28,23,29,3.38,3.25,16,1
3756,A,0,0,225-249,0,C,1,F,1,0.232,21,20,19,3.38,3.375,16,1
3757,A,0,1,20-29,0,C,1,I,2,0.352,24,24,27,2.94,1.6,15,0
3758,A,0,1,80-89,0,E,1,I,2,0.407,25,22,28,3.14,3.142,14,1
3760,A,0,0,70-79,0,B,1,J,1,0.048,31,28,33,3.98,3.812,16,1
3761,A,0,0,50-59,0,A,1,G,2,0.397,19,21,18,3.44,2.5,12,1
3762,A,0,1,100-109,0,E,1,H,1,0.395,24,24,26,3.25,3.2,15,1
3763,A,0,0,80-89,0,A,1,G,1,0.6,20,17,20,2.88,3.25,12,0
3764,A,0,0,40-49,0,A,1,G,1,0.349,23,20,25,3.36,3.25,16,1
3765,A,0,1,140-149,0,B,0,K,2,0.651,20,19,17,2.9,3,12,1
3766,A,0,0,60-69,0,A,1,K,2,0.091,25,25,22,3.55,3.733,15,1
3767,A,0,1,100-109,0,D,0,K,2,0.273,20,21,18,3.43,1.612,15.5,0
3768,A,0,0,110-119,0,A,1,J,1,0.095,26,24,26,3.77,3.625,16,1
3769,A,0,1,100-109,0,E,1,K,2,0.141,23,22,25,3.49,1.428,14,1
3770,A,0,0,100-109,0,C,0,J,1,0.577,23,23,23,2.69,1.5,12,0
3772,A,0,1,170-179,0,E,1,H,2,0.167,20,24,17,3.6,3.6,15,1
3774,A,0,1,30-39,0,E,1,H,1,0.444,24,21,22,3,2.333,9,1
3776,A,0,0,110-119,0,A,1,I,1,0.021,30,29,30,3.96,4,13,1
3777,A,0,1,50-59,0,D,1,I,1,0.471,18,18,18,2.94,2.75,12,1
3778,I,0,1,400-499,0,E,0,K,2,0.076,21,18,21,4.09,2.857,14,1
3779,A,0,0,180-189,0,B,1,J,1,0.112,22,23,16,3.85,3.529,17,1
3781,E,0,0,10000-10000,0,A,0,K,2,0.524,,,,3.39,1.384,13,1
3782,A,0,0,130-139,0,D,1,I,1,0.029,30,34,30,4,4,16,1
3783,A,0,0,0-9,0,C,1,K,1,0.024,27,28,29,4,3.437,16,0
3785,A,0,0,100-109,0,C,1,H,1,0.607,16,15,12,2.7,1.5,12,0
3786,A,0,1,100-109,0,E,1,H,2,0.117,26,25,24,3.81,3.4,15,1
3787,A,0,0,100-109,0,A,1,J,1,0.345,21,19,21,3.2,4,15,1
3788,A,0,1,40-49,0,E,1,H,1,0.891,20,19,16,2.07,1,13,0
3789,A,0,0,70-79,0,C,1,K,2,0.005,23,24,22,4,4,15,1
3791,A,0,1,250-274,0,E,1,J,2,0.361,27,25,29,3.54,2.4,15,1
3792,A,0,1,100-109,0,E,1,F,2,0.029,30,26,31,4,4,15,1
3793,A,0,1,100-109,0,E,1,G,2,0.45,20,22,19,2.85,2.857,14,1
3794,A,0,0,80-89,0,A,1,H,1,0.026,24,25,26,3.96,4,12,1
3795,A,0,1,10000-10000,0,E,0,K,1,0.459,,,,3.28,2.857,14,1
3796,A,0,0,30-39,0,A,1,K,1,0.585,20,20,20,2.41,2,12,0
3798,A,0,1,120-129,0,E,1,G,2,0.033,25,24,22,3.93,3.8,15,1
3799,A,0,0,40-49,0,C,1,G,2,0.47,18,16,19,3.12,3.09,11,1
3800,A,0,1,120-129,0,E,0,H,1,0.219,20,29,17,3.6,3.625,16,1
3801,A,0,0,70-79,0,A,1,J,1,0.078,29,27,27,3.91,3.5,12,1
3805,A,0,1,200-224,0,E,0,H,1,0.438,26,25,29,3.1,3.25,12,1
3806,A,0,0,60-69,0,D,1,K,1,0.046,21,24,22,3.97,4,14,1
3807,A,0,0,180-189,0,C,1,G,2,0.429,23,19,23,3.48,3,15,1
3809,E,0,0,70-79,0,A,0,H,1,0.503,18,21,14,2.98,1.2,15,1
3810,J,0,1,250-274,0,E,1,H,2,0.239,27,25,23,3.26,0.666,9,0
3811,A,0,1,90-99,0,E,0,H,2,0.81,20,20,21,2.35,1.8,15,1
3812,A,0,1,170-179,0,E,1,H,2,0.667,19,23,16,2.58,2.4,15,0
3813,A,0,1,60-69,0,E,1,I,2,0.423,21,23,20,3.44,3,12,1
3814,E,0,0,0-9,1,,1,J,1,0.072,26,25,24,3.82,4,15,1
3815,A,0,1,30-39,0,E,1,H,2,0.615,16,16,16,3.43,3.1,10,1
3817,A,0,1,30-39,0,D,1,F,1,0.596,20,22,20,2.77,2.25,16,1
3819,A,0,0,90-99,0,A,1,J,1,0.188,21,20,20,3.46,2.687,16,1
3821,A,0,0,80-89,0,A,1,I,1,0.156,22,18,23,3.85,4,15,1
3822,A,0,0,60-69,0,D,1,H,1,0.182,25,24,29,3.95,3.586,14.5,1
3823,A,0,0,150-159,0,B,0,F,1,0.133,26,24,25,3.66,3.2,15,1
3825,A,0,0,120-129,0,B,1,K,2,0.042,28,24,29,4,4,16,1
3826,A,0,1,150-159,0,D,1,J,2,0.211,29,29,28,3.7,3,12,1
3827,A,0,1,100-109,0,B,1,J,1,0.906,22,23,20,2.13,1.25,12,0
3829,A,0,1,90-99,0,D,1,J,1,,22,,,2.6,0.2,15,0
3830,A,0,1,60-69,0,E,1,I,2,0.911,23,20,24,2.04,2,12,1
3831,A,0,1,200-224,0,E,0,I,2,0.268,22,17,25,3.65,3.2,15,1
3832,A,0,0,120-129,0,A,1,K,2,0.02,20,22,20,3.99,4,15,1
3833,A,0,0,60-69,0,C,1,H,2,0.136,27,26,22,3.73,3,16,1
3834,A,0,0,130-139,0,A,1,H,1,0.036,22,24,23,3.94,3.8,15,1
3835,A,0,0,200-224,0,B,0,I,1,0.439,21,18,19,2.84,1.384,13,1
3836,A,0,0,400-499,1,,0,H,1,0.05,21,20,20,4.02,3.4,15,1
3838,A,0,1,90-99,0,D,0,K,1,0.044,27,28,23,3.97,3.562,16,1
3839,A,0,1,190-199,0,B,0,G,2,,25,26,21,3.22,3.866,15,1
3840,A,0,1,90-99,0,D,0,K,2,0.295,24,28,24,3.66,2.928,14,1
3841,A,0,0,80-89,0,C,0,K,2,0.291,28,26,28,3.64,3.785,14,0
3842,A,0,1,200-224,0,E,1,H,2,0.311,22,20,20,3.32,1.25,12,0
3843,A,0,0,90-99,0,C,1,I,2,0.203,21,19,21,3.54,2.6,15,1
3844,A,0,1,80-89,0,E,1,G,1,0.628,16,16,15,2.79,2.4,15,0
3845,I,0,1,500-999,0,B,0,K,1,0.208,20,,,2.76,2.142,14,1
3846,A,0,1,275-299,0,E,0,H,2,0.174,22,23,19,3.68,3,15,1
3847,A,0,1,40-49,0,D,1,G,1,0.35,25,26,23,3.25,3.571,14,1
3849,A,0,0,90-99,0,C,1,K,1,0.663,25,24,26,2.62,3.461,13,0
3850,G,0,0,80-89,0,A,1,I,2,0.261,21,19,20,3.81,3.5,12,0
3852,A,0,1,10-19,0,D,1,K,1,0.167,26,30,24,3.5,3.066,15,1
